"year","cchs_uid","extracted_canonical","variables","checksum","status"
2001,"cchs-2001s-m-dd-en-pdf-01","cchs_2001s_dd_m_en_1_v1",1097,"de5de98c9b84fe67a86b5a94094d87bb06b29d6132605b152cb84339d770efc9","success"
2003,"cchs-2003s-m-dd-en-pdf-01","cchs_2003s_dd_m_en_1_v1",1993,"e9e6603b28ebedabaac106a3e5a51d7c2decb324743a87e188735d87666d2aba","success"
2005,"cchs-2005s-m-dd-en-pdf-01","cchs_2005s_dd_m_en_1_v1",1893,"1d1e388249b4930265a0dd08daa94cc551b79c73a70e63d6cc0b5dbb2317449e","success"
2007,"cchs-2007d-m-dd-en-pdf-01","cchs_2007d_dd_m_en_1_v1",1820,"639720f0d89ea14b2d01f73784965b71f30291ef5fa404a55b21f1893564b712","success"
2009,"cchs-2009s-m-dd-en-pdf-01","cchs_2009s_dd_m_en_1_v1",1845,"ebccdca89fe21babcab12e0d97204bf13b05e6d0a9d41aabcfffb1472117abb7","success"
2010,"cchs-2010s-m-dd-en-pdf-01","cchs_2010s_dd_m_en_1_v1",1955,"726c2fb3ebd1bb0d58f083638ebcbafca676c710a5794c84acbefbd03fe63fc3","success"
2011,"cchs-2011s-m-dd-en-pdf-01","cchs_2011s_dd_m_en_1_v1",1718,"4419b6d2ffcebb0bef34169b254fdabb2341d78f431a6e77f00394f058f859a5","success"
2012,"cchs-2012s-m-dd-en-pdf-01","cchs_2012s_dd_m_en_1_v1",1815,"c10f26b31c537d137e3791fc76fcd1de6ee4cbe12b9cebf978f51b75ba355bc4","success"
2013,"cchs-2013s-m-dd-en-pdf-01","cchs_2013s_dd_m_en_1_v1",1662,"5f32f14c7cca6e425db681ac0783fb71982f4531ee122f41b44664d7fa230f22","success"
2014,"cchs-2014s-m-dd-en-pdf-01","cchs_2014s_dd_m_en_1_v1",1747,"83caa211feaf12d22f7bf147793b6c10458273b0c82f6eaee6b6d22b934f6d12","success"
2015,"cchs-2015s-m-dd-en-pdf-01","cchs_2015s_dd_m_en_1_v1",1686,"a1f9dc135eed25230d38507f8966b1bfe9f775343c058a973a3f3213167e3b31","success"
2016,"cchs-2016s-m-dd-en-pdf-01","cchs_2016s_dd_m_en_1_v1",1594,"26d8ad2e5f51f73f945cbd1b359a2271266eda810c4ab105467b72918ba73e7d","success"
2017,"cchs-2017s-m-dd-en-pdf-01","cchs_2017s_dd_m_en_1_v1",1314,"41a4d9ec6df758f3206ad3fccb23f0c016d99e9708607e7187395ed5011ff052","success"
2018,"cchs-2018s-m-dd-en-pdf-01","cchs_2018s_dd_m_en_1_v1",1387,"eae9858e947357e054c0d488b96e92fe675e57657bb9c42225f970a17d57d56f","success"
2019,"cchs-2019s-m-dd-en-pdf-01","cchs_2019s_dd_m_en_1_v1",1290,"5f16d42eee6123051d6d32439c1f33fb808e44efb60d87b4ade6a482346c4f3d","success"
2020,"cchs-2020s-m-dd-en-pdf-01","cchs_2020s_dd_m_en_1_v1",1333,"be0b7c57db6f78523f65639243504fa407ba227cc95ed1897068f85c3b2e36ea","success"
2021,"cchs-2021s-m-dd-en-pdf-01","cchs_2021s_dd_m_en_1_v1",742,"5fde27442bc838595f6e6bc5ea16949fa3fbf179d79515d6bbd49048d5f9faee","success"
2022,"cchs-2022s-m-dd-en-pdf-01","cchs_2022s_dd_m_en_1_v1",628,"c4c4a2db90134b566a2d013d53a34d89093bfe73e76c900962bbdc5fc11b7ec4","success"
2023,"cchs-2023s-m-dd-en-pdf-01","cchs_2023s_dd_m_en_1_v1",709,"588315766090e5f99a0971a831ff9007bf9188232a50ede3d563ab720dbee201","success"
