"year","canonical","cchs_uid","modules","variables","checksum","status"
"2015-2016","cchs_2015d_dv_p_en_1_v1","cchs-2015d-p-dv-en-pdf-01",44,253,"03b72388e21460b36d465fa3d75bbbd8bbcba4d32407bf0482ade071dfdd64ff","success"
"2017-2018","cchs_2017d_dv_p_en_1_v1","cchs-2017d-p-dv-en-pdf-01",43,205,"8193d4e2cab69e4c48c5b32fc221d0168c67872d4f4650432c4debe9a488c3ff","success"
"2013-2014","cchs_2013d_dv_p_en_1_v1","cchs-2013d-p-dv-en-pdf-01",46,223,"c13d100c9e559b7bbea8a51835e680af3300ee0e7b21358f9386a27face97e19","success"
"2011-2012","cchs_2011d_dv_p_en_1_v1","cchs-2011d-p-dv-en-pdf-01",41,162,"b3186784efff42253ffc282b7524fb84bcd572f05873933c435647e9e4c2f6ba","success"
"2009-2010","cchs_2009d_dv_p_en_1_v1","cchs-2009d-p-dv-en-pdf-01",12,182,"aeaa087420ec3d61e45c826b05491a54d1b5f2e42953249c0cb7dca0c4fa39eb","success"
"2007-2008","cchs_2007d_dv_p_en_1_v1","cchs-2007d-p-dv-en-pdf-01",10,182,"94ff67d33ccb9bbc8adf31d449184e8570e1f90a2e357c5180dc1753d665b1c0","success"
"2014","cchs_2014s_dv_p_en_1_v1","cchs-2014s-p-dv-en-pdf-01",47,250,"8b227324c240e43c0ad6ace87126c1c51fccecec5febaa31052141a04196291e","success"
"2012","cchs_2012s_dv_p_en_1_v1","cchs-2012s-p-dv-en-pdf-01",44,180,"5c42a1b1fa398b1e955d3bc12226cfa894fad5f1f33bb761af1ed38d9969b14c","success"
"2010","cchs_2010s_dv_p_en_1_v1","cchs-2010s-p-dv-en-pdf-01",12,195,"ab59a15f0745ee70cbcdb1b76ae06c323a74df94a22be935561fb90099d5fe49","success"
"2005","cchs_2005s_dv_p_en_1_v1","cchs-2005s-p-dv-en-pdf-01",0,247,"839dd8ce1f1fdc6a16a33e7856595b5de0a8799b2142b24cd5f58c81b6980b91","success"
"2003","cchs_2003s_dv_p_en_1_v1","cchs-2003s-p-dv-en-pdf-01",0,177,"02887f1d2f9aa7e808ea8d6329c93573289122a85dd4b93d4a300b41ed697e9c","success"
"2001","cchs_2001s_dv_p_en_1_v1","cchs-2001s-p-dv-en-pdf-01",0,109,"dd8d3066e315b10f18583dd4cf753df2bf29a604d3a85b88b0d857a66485865a","success"
