year,cchs_uid,canonical,sections,tables,checksum,status
2001,cchs-2001s-m-ug-en-pdf-01,cchs_2001s_ug_m_en_1,10,0,3e4a13116c148890fefd0c1bc6bde61612d4d40d3f71f48332a7ad11f8395178,success
2003,cchs-2003s-m-ug-en-pdf-01,cchs_2003s_ug_m_en_1,10,0,8730bf6ac188ba7ed594e299a6daa9c2516337f7d8cde08be6da641525376f19,success
2003,cchs-2003s-m-ug-en-pdf-02,cchs_2003s_ug_m_en_1,4,0,81970885a8fd9f644f2475e54db5ff73da06f95f8364b0318fd1c790302d3db5,success
2005,cchs-2005s-m-ug-en-pdf-01,cchs_2005s_ug_m_en_1,15,0,22f3bf767ac46d3982a26ebe5095bf0099978bd384c58155fdfc834fab89e863,success
2007,cchs-2007d-m-ug-en-pdf-01,cchs_2007d_ug_m_en_1,14,0,51212cfec49d9b4c9292896653bf9126f26a665aba561d865080c62bdc16eb6b,success
2009,cchs-2009s-m-ug-en-pdf-01,cchs_2009s_ug_m_en_1,13,0,75f9eecc232a6d67833b2007b7b09025b3576c6adbbe3d148a23ad901ac26b58,success
2010,cchs-2010s-m-ug-en-pdf-01,cchs_2010s_ug_m_en_1,19,0,981c4d7a49d16a9c0f2a3638622221e8a963e1aafcf4fcc5334b1dad6c352395,success
2011,cchs-2011s-m-ug-en-pdf-01,cchs_2011s_ug_m_en_1,14,0,4e412352c8c99ca94901cb6f219ff933499c6ea6c6ce54b2458bca49402768ad,success
2012,cchs-2012s-m-ug-en-pdf-01,cchs_2012s_ug_m_en_1,20,0,8b60babed8079819fc90b4fb1e5cfa3a152416c1cf909692d6c443416b488c57,success
2013,cchs-2013s-m-ug-en-pdf-01,cchs_2013s_ug_m_en_1,15,0,23f66eeda7f5cd4049e917fdaf76d1008e6cd8de3c0573cda8623a31d6216cfd,success
2014,cchs-2014s-m-ug-en-pdf-01,cchs_2014s_ug_m_en_1,20,0,f5a92ea1525bafc5227b021a5bbc463367bcffbb3248c9f813164f2359fea02f,success
2015,cchs-2015s-m-ug-en-pdf-01,cchs_2015s_ug_m_en_1,19,0,02d750d687ea89cafbf3e20e70a477c711764afd02a062448e814dd03edb5f06,success
2016,cchs-2016s-m-ug-en-pdf-01,cchs_2016s_ug_m_en_1,22,0,3f1ff244d316e50b18b9beaba3d09eea31963d3126fd349e5e15a982919390d0,success
2017,cchs-2017s-m-ug-en-pdf-01,cchs_2017s_ug_m_en_1,17,0,a5d65b5176715f2fbeafed168a05f9e497ae55368c0949ced43121623a715897,success
2018,cchs-2018s-m-ug-en-pdf-01,cchs_2018s_ug_m_en_1,19,0,51dc33c5b6ab93755288df38831b11dbf75d70e99952bdea86066c49161a5fac,success
2019,cchs-2019s-m-ug-en-pdf-01,cchs_2019s_ug_m_en_1,16,0,6522ab794796ff9b0cb993208a7f852392ad6c27b7d2a8ac8d877f01854c6173,success
2020,cchs-2020s-m-ug-en-pdf-01,cchs_2020s_ug_m_en_1,17,0,fcb8e1a06bf66faa2ce45e14cbfba14034c880942f0906dd96f0c022bfc56ac5,success
2021,cchs-2021s-m-ug-en-pdf-01,cchs_2021s_ug_m_en_1,14,0,d59bc8af692fd586afd6f20b36e3d4a34a380b4de7198d308079fc7bb9ee91c1,success
2022,cchs-2022s-m-ug-en-pdf-01,cchs_2022s_ug_m_en_1,16,0,4c82864bd060e31dcb6ef163871e85c70a3fa4e30abe4f8bde8f24f6b3e60848,success
2023,cchs-2023s-m-ug-en-pdf-01,cchs_2023s_ug_m_en_1,15,0,db3596d97fab8b22ca8c8c3c5471b1de08310e9fbc8de1f0b27170bfe6fb6701,success
2003,cchs-2003s-p-ug-en-pdf-01,cchs_2003s_ug_p_en_1,87,13,f05357973fac33420f7522c9e76e5dd38681e085b74bc1ce2b72a98499145a4f,success
2005,cchs-2005s-p-ug-en-pdf-01,cchs_2005s_ug_p_en_1,0,0,eb375e86b2d7edbc14539f461e6877590d069622d8ccb0bcb5897a5407ef2240,success
2017-2018,cchs-2017d-p-ug-en-pdf-01,cchs_2017d_ug_p_en_1,0,0,317354ca11f3c05ba450fb0d415804e76a61ce5a0ef68b700d921f1bba54a48d,success
