"year","folder_id"
"2023","68d721ba4714c13124432bc5"
"2022","68d724945d66d3ed9ed4e948"
"2021","68d725bf6853e231f81b9eac"
"2020","68d72e47c62d1ee19ed4e81c"
"2001","68d732009b7a52efd31b9eb0"
"2003","68d732103063077b656041ea"
"2009","68d732c59b7a52efd31b9ed7"
"2010","68d732dd96e64a5b37b8f692"
"2011","68d732ec3f29454febb8f682"
"2012","68d732fb592a4939106040fc"
"2013","68d7330a0e3de91745432ce4"
"2014","68d7331a90d26177ed60420d"
"2015","68d73500b07f2942dd6040d1"
"2016","68d735113e03f18df3d4e92e"
"2017","68d7351f49dd359efd432cf1"
"2018","68d73530fa2302b84f1b9f84"
"2019","68d7353e07d65e2111b8f8ce"
"2007","68d7359496e64a5b37b8f70b"
"2005","68d82dd8030a8d70a71ba015"
